,year,tmID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,PPG,avg_height,avg_weight,avg_age,awards,last_two_playoff
0,1,CHA,EA,8,N,,,,Charlotte Sting,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0,0,0,0,0,0,8.0,24.0,32,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,Charlotte Coliseum,68.3125,71.6923076923077,168.84615384615384,25.384615384615383,0.0,0.0
1,2,CHA,EA,4,Y,W,W,L,Charlotte Sting,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0,0,0,0,0,0,8.0,24.0,32,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,Charlotte Coliseum,68.3125,71.5,164.41666666666666,25.583333333333332,0.0,0.0
2,3,CHA,EA,2,Y,L,,,Charlotte Sting,779.0,1841.5,420.5,552.5,142.0,407.0,307.0,634.5,941.5,509.0,659.0,219.5,485.0,102.0,2120.5,805.5,1888.0,482.0,639.0,126.0,396.0,335.0,615.5,950.5,519.5,587.5,258.0,436.5,123.5,2219.0,0,0,0,0,0,0,13.0,19.0,32,8.0,8.0,5.0,11.0,10.0,11.0,6487.5,98244.0,Charlotte Coliseum,66.265625,71.3076923076923,164.92307692307693,26.615384615384617,0.0,2.0
3,4,CHA,EA,2,Y,L,,,Charlotte Sting,758.0,1785.0,450.0,595.5,182.0,477.5,305.5,646.0,951.5,481.5,626.0,229.0,441.0,109.5,2148.0,755.0,1826.5,437.5,580.0,123.5,370.5,319.5,593.5,913.0,466.0,589.5,232.5,435.5,113.5,2071.0,0,0,0,0,0,0,18.0,14.0,32,11.0,5.0,7.0,9.0,13.5,7.5,6475.0,106097.5,Charlotte Coliseum,67.125,71.18181818181819,164.45454545454547,26.636363636363637,0.0,3.0
4,5,CHA,EA,5,N,,,,Charlotte Sting,778.5,1835.5,473.0,626.5,199.0,522.0,322.0,641.0,963.0,497.5,672.0,260.0,452.5,110.0,2229.0,784.0,1854.5,460.5,632.5,135.5,389.5,340.5,620.5,961.0,490.0,603.0,236.0,446.5,103.5,2164.0,0,0,0,0,0,0,18.0,15.0,33,12.0,4.5,6.0,10.5,12.0,10.5,6650.0,113365.5,Charlotte Coliseum,67.61856617647058,72.0,167.57142857142858,25.785714285714285,0.0,3.0
5,6,CHA,EA,6,N,,,,Charlotte Sting,766.0,1812.5,446.0,590.0,176.5,488.0,299.0,622.5,921.5,462.5,672.5,244.5,488.0,124.5,2154.5,795.0,1917.0,457.5,627.0,134.0,378.0,377.0,624.5,1001.5,503.5,600.5,253.5,453.0,109.0,2181.5,0,0,0,0,0,0,17.0,17.0,34,11.5,5.5,5.5,11.5,10.0,12.0,6875.0,118222.0,Charlotte Coliseum,63.36764705882353,72.0625,168.4375,26.1875,0.0,1.0
6,7,CHA,EA,6,N,,,,Charlotte Sting,758.5,1828.5,441.5,607.0,135.0,380.0,286.0,612.5,898.5,459.5,687.5,247.0,507.0,123.5,2093.5,825.5,1910.0,473.5,650.0,127.0,344.0,361.5,664.0,1025.5,506.0,624.5,256.0,485.5,130.0,2251.5,0,0,0,0,0,0,11.0,23.0,34,7.5,9.5,3.5,13.5,6.0,14.0,6922.5,107218.5,Time Warner Cable Arena,61.57352941176471,72.91666666666667,172.16666666666666,24.916666666666668,0.0,0.0
7,7,CHI,EA,7,N,,,,Chicago Sky,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0,0,0,0,0,0,5.0,29.0,34,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,UIC Pavilion,68.29411764705883,72.4,165.13333333333333,25.4,0.0,0.0
8,8,CHI,EA,6,N,,,,Chicago Sky,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0,0,0,0,0,0,5.0,29.0,34,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,UIC Pavilion,68.29411764705883,71.5,168.0,24.071428571428573,0.0,0.0
9,1,CLE,EA,2,Y,W,L,,Cleveland Rockers,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,0,0,0,0,0,0,17.0,15.0,32,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,Quicken Loans Arena,68.28125,70.92307692307692,162.84615384615384,25.53846153846154,0.0,0.0
